date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:01	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
15:39:02	5224/5224	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:39:02	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
15:39:02	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
15:39:02	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
15:39:03	4572/4572	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
15:39:03	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
15:39:03	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
15:39:04	990/990	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
15:39:05	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
15:39:07	600986/600986	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:39:06%20GMT	https://www.classcentral.com/rankings	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
15:39:07	593694/593694	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:39:07%20GMT	https://www.classcentral.com/collections	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
15:39:09	576194/576194	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:39:09%20GMT	https://www.classcentral.com/subjects	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
15:39:10	899136/899136	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:39:10%20GMT	https://www.classcentral.com/subject/cs	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
15:39:11	848475/848475	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:39:11%20GMT	https://www.classcentral.com/subject/health	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
